,FieldCapacity(-),WiltingPoint(-),MaxRootDepth(mm),DepletionFactor(-),BaseflowIndex(-),k(-),lambda(-),n(timesteps),AquiferLength(m),S3(-),S2(-),S1(-),K3(m/day),K2(m/day),K1(m/day),z3(m),z2(m),z1(m),Alpha(-),ObjectiveFunction
10,0.1495317721025789,0.7396624631839688,1112.3138296288068,0.4055996494106074,0.7120195004805538,8.225754956097338,48.53141011758643,499.2605006153655,2434.278460084628,0.3335155820349978,0.1376329132516663,0.0001822646051346,951.3685325080066,806.7053901620986,371.9089285581507,87.15559245251727,39.20504394571915,17.289609114536322,1,-5.50925
11,0.1691685742876751,0.6767140291018154,1397.2708701547433,0.4335527942493936,0.6568399919665786,7.249525393700844,62.32506956299109,518.7258203325516,3022.401760734625,0.4493953496501404,0.1613575985728346,0.0001176645683958,949.9849734142958,805.2163715651242,319.99457546254826,87.8138894297629,37.86353506803923,20.154328945623877,1,-5.77502
12,0.2170512260103136,0.7044095564885956,1329.5372445917187,0.4304581530452779,0.6244172503550336,7.240588581073236,56.16744621427189,481.7429775668468,3518.4394059026254,0.4124524895967399,0.1550979444495706,0.0001510904442307,944.5389290965644,784.7995595870804,357.5564653119643,87.08744704501285,41.16768123412295,16.119229567582273,1,-5.89825
13,0.20207574597053,0.6882705947435126,1285.9553962152313,0.4250579726945072,0.6594224379433631,7.663774730601993,62.48509167526454,543.3264037135099,2719.2818545324008,0.4182883519569244,0.1613802930928444,0.0001210924761411,948.781182747112,790.1263520330514,334.35290218682974,87.56739012108824,37.274204170607135,16.724547150719193,1,-5.94321
14,0.2527429777908208,0.6716694742716984,1486.2289536471517,0.455965133984177,0.6055452621412152,6.096618763978756,74.87032863602806,634.171937696801,2541.945098622245,0.5781459812560372,0.2036010945390026,0.0001065919041628,937.7921435890604,732.8763669508369,253.639175488126,86.3236337589141,34.079576948199325,15.772241263124034,1,-6.11307
15,0.2376929651820364,0.6157353895448826,1526.929748884633,0.527909244063264,0.5593533106301712,7.023226862681341,65.27636456048481,690.2810600828772,2524.617785832279,0.5106240341144337,0.1723602486891574,0.0001016968240397,938.2396063517458,776.9342595723842,300.4120602393956,87.33055233497612,29.934880581966283,13.58238560362658,1,-6.11307
16,0.2791912986222978,0.5923670878211424,1717.6396569636308,0.4830955344930996,0.5517023761180548,5.960355974225132,80.5765082366504,581.0184967465973,3773.922253935775,0.6061362287565275,0.2042251387799521,8.4560105101132e-05,944.162797134426,758.7165499479012,283.5943901775552,88.33894393001715,38.82519351629112,18.800058243855347,1,-6.26128
17,0.1972265520258782,0.6668042087511761,1417.6803067613369,0.4375068731870823,0.6266862304124071,6.773045966521235,68.79195497369273,542.8549317121509,2999.750506807809,0.5138354639456637,0.1750466718134531,0.0001454772409905,939.4284797857364,793.3114375210477,276.554683901121,87.39483399121545,36.75925008870122,19.73074647981789,1,-6.73192
18,0.2835755029630901,0.686913395667428,1507.6851200741607,0.4518313265560745,0.5457503538950337,6.102647974298266,82.29887502404247,644.6179924551165,2255.865901262332,0.6101186884313552,0.2200215513119372,0.0001157633185417,935.1818480460367,733.2828787755033,212.04896317025248,85.44796061766675,32.112050962758445,14.18786161190971,1,-6.79067
19,0.1768799719382044,0.7658063621814244,1109.714281529357,0.386246642794172,0.67497501779341,7.937761725783366,52.14476040786282,472.1097605539826,2973.123456136155,0.3588042264936756,0.1499739729001744,0.000167456349369,941.9169011469196,796.8392422605548,347.3856844398516,86.48403329551022,39.91925462876998,15.513256211315287,1,-7.09221
20,0.2130105275274783,0.6769561927041063,1351.933516152528,0.4499122041148902,0.6211666796984351,7.074819897506732,60.10938094720124,539.7307328853833,3190.480970324261,0.4600111138636839,0.1648972786616008,0.0001602368110744,944.9933986688128,791.1553333608565,325.1648323379334,86.5701148110237,37.0606521634878,16.696224078915996,1,-7.76392
21,0.2708126379670992,0.6463614818078968,1620.3320335435883,0.4692651307765721,0.5308327095434948,5.707760323701232,85.53262446030396,630.1729092033554,2804.53903229705,0.6491126897393908,0.2172283381260319,8.326078797334002e-05,932.2075696785458,754.8443819247045,197.40575539284788,86.20317025000591,32.14268942505671,16.7982004954766,1,-8.56808
22,0.2113740899243817,0.7066760079423526,1364.4783178293178,0.4355182685467459,0.6154069269564462,6.861201117394254,69.12156853132004,578.7680423916249,2426.180850636707,0.5043851738582011,0.1834021776668584,0.0001203425204858,939.8721515656672,776.3415959995234,265.8924525303862,86.33985979581348,34.27780402053126,16.267735293801067,1,-10.1687
23,0.1728121554150588,0.7687276364367037,1084.607164435009,0.3765201628772493,0.6888302610883899,7.919424009334342,53.7574556429731,476.6720821426552,2760.379846727021,0.3631300503143998,0.1508186737352716,0.0002060012421696,941.5036680642654,801.1131915803905,336.20915966799225,86.66668060525762,39.03380120314006,16.07740157689798,1,-10.5667
24,0.2021877811605208,0.6907042645840042,1333.334120728089,0.443592088897579,0.6381268092977171,7.384439683049775,54.809257629199095,504.7065600983381,3152.6490161790834,0.4024922475926267,0.1476798775728383,0.0001839598478961,949.281602434599,797.5710524395788,368.6122039085848,87.19892437664555,39.89324187632174,16.7753386139004,1,-10.7997
25,0.2293368580834413,0.667618039417275,1490.151849200331,0.4465091878667894,0.5903475953108244,6.585938315673898,71.31972255653363,542.9186077641506,3176.823538145836,0.5262567787287225,0.1831995536430656,0.0001581891461073,940.8409558918836,778.5604607119661,280.583213450112,87.1403088388592,37.405512873953306,18.18247573509205,1,-11.0555
26,0.2576522843269667,0.6174247321833126,1595.534382814017,0.485619445214655,0.5380097625853348,6.704713930847324,81.61883024064993,661.9325149912099,2758.9620359799137,0.5881716979681435,0.2068866780009393,9.8104011032516e-05,940.3551930939736,776.8124020181515,237.5419346052487,87.51309716949444,31.449414600266223,16.364080317064694,1,-12.269
27,0.2744501351406285,0.5962605960415948,1652.5080436096032,0.5096389344846208,0.5148990386572243,6.387059554316595,78.2745347043394,643.0085281206549,3067.9252883151867,0.5952353550852694,0.1972503907487228,0.000126456763699,936.1250781472258,775.3014694966396,259.6762781031485,87.57833081810247,33.29975871471838,16.133025487465186,1,-14.2823
28,0.1860358533233483,0.7089872888525753,1299.4385832237465,0.4134786190182807,0.6595135049179268,7.443911897356163,61.525389136011526,516.051925060922,2905.96956112718,0.4302228960150594,0.1642571804953937,7.746987205653998e-05,945.9901690032628,791.4092848071155,321.5515720786675,87.29673210035932,38.52934171083341,18.117891938954195,1,-24.1375
29,0.2556957913672221,0.610046529060739,1648.1036811111687,0.4932949823240243,0.5606000257367252,6.411927373349688,65.75343134667975,527.9221306996357,3928.97588171694,0.5064771445360647,0.1672058812084417,0.0001736067311647,949.726054873464,785.1394317329002,352.05274834878367,88.01342913098591,40.47929704818543,17.924836163488422,1,-40.5186
30,0.1949700897220778,0.6988206640467054,1285.4011759925652,0.4301541760004628,0.6507003624269316,7.425551081772181,59.05975562489828,536.9927528270183,2905.394058794908,0.4237914391706253,0.1594042592872102,0.0002142835966377,945.4184738683118,789.752477176622,331.8451796879401,87.06847211120918,37.29591432427484,16.37393790230832,1,-47.9562
31,0.1736161435931479,0.6973196744446959,1371.3485501947648,0.4390814921538833,0.636561232407032,7.522933642535722,57.7535376095495,537.9361271756085,2777.785788529807,0.4328690051720869,0.1593528834949414,0.0002176409344525,943.7603265789604,804.969177126002,334.72185778417213,86.56444388425311,36.42699817990889,17.370430113197315,1,-48.9213
32,0.1423664530181802,0.7426155210171584,1291.0030264392867,0.4232812966899548,0.6479778858301705,8.078839168829129,54.42243833998624,537.7679494497731,2401.468869645245,0.3924304265483582,0.1466131353153548,0.0002961146130691,940.7288000319228,806.1112973975446,336.8475270329866,86.0990163949948,34.0974737829161,15.2874588804106,1,-49.7391
33,0.2438495354500142,0.6504832177562513,1514.8883380929542,0.4707005078880865,0.5726705073627496,6.692844116898595,67.0870483430548,556.7840063208969,3330.571375315799,0.5022106640958577,0.1753577427316922,0.0002160066964819,945.1849903851096,784.4981267159324,316.1499654492998,87.17023133892576,37.15331580676717,16.319579111386346,1,-52.5828
34,0.1857112881089173,0.7190616429662839,1214.375928150245,0.4201589693156813,0.6627680417079143,7.676360805836285,54.34764928008322,508.8556411195775,2900.7352607914254,0.391693637568237,0.1522910601277449,0.0003179702843284,946.132913725662,796.6863231988344,347.9366914161229,86.84350502863956,38.782429988634505,16.58648930430662,1,-65.4475
